quarter,level_1,level_2,level_3,value
2006-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,26.3
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11040
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5126.4
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1098.2
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2133.4
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,5840.3
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,6243.3
2006-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5447.7
2006-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15813
2006-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1794.9
2006-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,950.8
2006-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.3
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11784
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5683.4
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1140.4
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2170.8
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,6274.4
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,6730
2006-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6263.3
2007-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,14868.4
2007-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1923.6
2007-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1064.9
2007-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.4
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11219.2
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5847.6
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1165.1
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2152.2
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,6688.9
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,7031.1
2007-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6028.8
2007-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15761.7
2007-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1770
2007-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,940.7
2007-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,28
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,12357.4
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5988.5
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1192.8
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2269
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7300.4
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,7541
2007-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5743.8
2007-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16438.9
2007-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2078.4
2007-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,956.8
2007-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.9
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,12797.7
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6284.1
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1239.3
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2316.1
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7338.6
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,7954.4
2007-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5854.1
2007-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15891
2007-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2379.4
2007-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,980.1
2007-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29.3
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,13041.4
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6687.1
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1284
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2307.3
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7795.6
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,8507.6
2007-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6683.1
2008-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,14012.6
2008-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2472.3
2008-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,959.4
2008-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.3
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11242.5
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6636.7
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1345.7
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2345.3
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7413.5
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,8846.5
2008-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,7015.4
2008-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,13793
2008-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2717.8
2008-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1069.7
2008-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.6
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11574.7
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6366.6
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1336.9
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2307.3
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7660.9
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,8946.5
2008-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,5935.6
2008-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,14330.2
2008-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3226
2008-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,916.9
2008-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.1
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,11852.6
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6049.4
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1348.1
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2374.1
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7623.3
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,9149.2
2008-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6237.5
2008-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,12296.7
2008-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3571.6
2008-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1069.2
2008-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.2
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,10695.7
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6280.8
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1311.5
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2546.6
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,6505
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,9253.7
2008-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6832
2009-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10912.3
2009-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3608.9
2009-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,866.1
2009-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.8
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,10994.6
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5483.4
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1205
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2621.8
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7059.8
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,8793.6
2009-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,7244.3
2009-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,13166.4
2009-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3574.8
2009-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1051.7
2009-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,26.3
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,12433.1
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5075.7
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1164.9
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2595.1
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7726.7
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,8675.8
2009-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6243.5
2009-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15485.5
2009-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3765.5
2009-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,995.5
2009-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,26.7
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,13108.6
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5051
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1242.3
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2585.6
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7843.8
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,9121.4
2009-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,6402.9
2009-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15474.4
2009-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4048.2
2009-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1155.7
2009-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.8
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,13896
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5919.8
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1308.1
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2650.8
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8102
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,9678.2
2009-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,7117.3
2010-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15378.4
2010-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3566
2010-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1109.5
2010-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,25.9
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,13690.3
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6271.8
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1353.3
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2679.9
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,7971.4
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,10025.9
2010-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8051.6
2010-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16749.9
2010-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3534.8
2010-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1229.2
2010-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.1
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14561.6
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6340.8
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1424.5
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2774.3
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8132.3
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,10369.5
2010-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,7572.9
2010-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16337
2010-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3520
2010-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1230.4
2010-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29.5
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14653.8
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6375.6
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1518.4
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2701
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8234.8
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,10490.5
2010-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,7951.7
2010-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16574.5
2010-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3600.4
2010-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1281.8
2010-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.9
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,15543.5
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6434.6
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1625
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2917.3
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8815.7
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,11233.4
2010-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8968
2011-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16629
2011-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3498.6
2011-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1195.3
2011-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.6
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,15855.1
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5633.9
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1666.6
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,2994.7
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8684.2
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,11329.1
2011-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10046.7
2011-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16385.7
2011-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3502
2011-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1377
2011-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29.6
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16831.7
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5488.8
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1729.3
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3065
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8814.5
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,11663.6
2011-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8121.2
2011-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16450.2
2011-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3802.4
2011-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1309.7
2011-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,27.7
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16822.9
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5363.9
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1786.2
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3093.8
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,9045.3
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,12139
2011-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8488.5
2011-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16436.2
2011-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4008.6
2011-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1266.4
2011-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,17088.1
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5736.1
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1803.9
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3203.4
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,8751.4
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,12529.4
2011-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,9203.7
2012-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16994.4
2012-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,3978.7
2012-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1247.8
2012-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.8
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16061.7
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5711.9
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1853.9
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3269.1
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,9300.5
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,12537.6
2012-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10125.5
2012-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,17581.1
2012-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4007.3
2012-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1399.3
2012-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.3
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16673.6
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5948.3
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1842.9
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3398.5
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,9302.7
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,12717.1
2012-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8547.9
2012-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16576.9
2012-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4180.4
2012-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1384.2
2012-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,15699.9
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5817.7
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1882.4
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3305.1
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,9123.2
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,12711.1
2012-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,8810.3
2012-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16717.1
2012-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4284.1
2012-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1341.9
2012-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.4
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16371.8
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6183
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1925.1
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3457.2
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,9563.3
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,13343.8
2012-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10019.6
2013-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,15510.2
2013-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4113
2013-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1196.2
2013-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,32.4
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16440.8
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,5730.7
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1904
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3515.1
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,10383.7
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,13702.5
2013-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10615.4
2013-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16362.8
2013-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4122.2
2013-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1390.4
